freguesia_id,nome
//amares//
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua Fonte da Obra
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Travessa Fonte da Obra
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua Poças de Além
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua do Adigueiro
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua das Quintas do Adigueiro
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Travessa do Adigueiro
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua Alto do Outeiro
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Largo do Terreiro
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua de São Miguel-o-Anjo
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua do Castelo
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Travessa do Castelo
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua das Azenhas
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Travessa do Bairro da Cerca
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua do Barqueiro
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua da Barranheira
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua Doutor João Batista de Sousa Fernandes
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua da Batoca
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua de São Bento
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Travessa da Boavista
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua da Boavista
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua Ponte do Boco
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua da Botica
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua de Cabeceiros
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua de Monte Chão
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua das Cales
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Calçada do Rebentanço
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua dos Quatro Caminhos
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Travessa do Cano
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua do Cano
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua da Tomada
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Travessa da Levada
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua da Cerca
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Travessa da Cerca
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua do Chantado
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua de Cidadelhe
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua de Cressó
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua do Cruzeiro
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua Nossa Senhora do Livramento
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua de Nossa Senhora da Saúde
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua de Dornas
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Travessa de Dornas
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua dos Eidos
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Travessa do Eirado
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua das Eiras
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Travessa da Eira
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua do Eirado
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua do Enchido
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua da Tele-Escola
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua Quinta do Sol
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua Nova da Ferraria
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua da Ferraria
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Travessa da Ferraria
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua das Flores
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua da Forja
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua de Paradela de Frades
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua Poças de Guisande
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Travessa da Laranjeira
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua da Laranjeira
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua de Lordelo
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Travessa da Portela Mã
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua da Portela Mã
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua de Santa Maria
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua do Meloal
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Travessa do Moinho
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua do Moleiro
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua Nova do Património
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua do Outeirinho
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua do Património
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua da Pedreirinha
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua do Portasouto
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Travessa de Portuzinho
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua de Portuzinho
